DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-3153368,2022-10-11 10:57:26,GOOD,0-3153368,43.08165,5.98493
,,,,,
0-4408436,2022-10-11 10:55:41,LOW,0-4408436,43.08151,5.986
,,,,,
0-4406439,2022-10-11 10:55:16,GOOD,0-4406439,43.08604,5.99751
,,,,,
0-4409666,2022-10-11 10:55:05,GOOD,0-4409666,43.08247,6.00542
,,,,,
0-4407230,2022-10-11 10:53:20,LOW,0-4407230,43.07302,5.98027
,,,,,
0-4410119,2022-10-11 10:52:53,GOOD,0-4410119,43.07339,5.97914
,,,,,
0-3153368,2022-10-11 10:52:28,GOOD,0-3153368,43.08155,5.98491
,,,,,
0-4408436,2022-10-11 10:51:06,LOW,0-4408436,43.08128,5.98581
,,,,,
0-4406439,2022-10-11 10:50:16,GOOD,0-4406439,43.08561,5.99798
,,,,,
0-4409666,2022-10-11 10:50:03,GOOD,0-4409666,43.08205,6.0051
,,,,,
0-4407230,2022-10-11 10:48:19,LOW,0-4407230,43.07311,5.97989
,,,,,
0-4410119,2022-10-11 10:47:52,GOOD,0-4410119,43.07333,5.97862
,,,,,
0-3153368,2022-10-11 10:47:27,GOOD,0-3153368,43.08146,5.98493
,,,,,
0-4408436,2022-10-11 10:45:42,LOW,0-4408436,43.08102,5.9856
,,,,,
0-4409666,2022-10-11 10:45:29,GOOD,0-4409666,43.08168,6.00471
,,,,,
0-4406439,2022-10-11 10:45:18,GOOD,0-4406439,43.08521,5.99841
,,,,,
0-4407230,2022-10-11 10:43:27,LOW,0-4407230,43.07321,5.97952
,,,,,
0-4410119,2022-10-11 10:42:53,GOOD,0-4410119,43.0733,5.97811
,,,,,
0-3153368,2022-10-11 10:42:29,GOOD,0-3153368,43.08138,5.98495
,,,,,
0-4408436,2022-10-11 10:40:40,LOW,0-4408436,43.08076,5.98536
,,,,,
0-4406439,2022-10-11 10:40:18,GOOD,0-4406439,43.0848,5.99879
,,,,,
0-4409666,2022-10-11 10:40:05,GOOD,0-4409666,43.08132,6.00426
,,,,,
0-4407230,2022-10-11 10:38:19,LOW,0-4407230,43.07333,5.97916
,,,,,
0-4410119,2022-10-11 10:37:55,GOOD,0-4410119,43.07333,5.97764
,,,,,
0-3153368,2022-10-11 10:37:29,GOOD,0-3153368,43.08133,5.98495
,,,,,
0-4408436,2022-10-11 10:35:43,LOW,0-4408436,43.08052,5.98517
,,,,,
